model,dataset,method,layer,auroc,auroc_std,accuracy,f1,auprc
llama3.1-8b,truthfulqa,probe_mlp,7,0.8551177819470502,0.03699627359012556,0.7791666666666667,0.7860731922969096,0.8835566536529887
llama3.1-8b,truthfulqa,probe_mlp,8,0.8611632270168856,0.028056756515259455,0.7666666666666666,0.7798610504492857,0.8824284590996124
llama3.1-8b,truthfulqa,probe_mlp,9,0.8572024181780279,0.0310785634799634,0.775,0.7831019110088877,0.8788009766167834
llama3.1-8b,truthfulqa,probe_mlp,10,0.8840942255576403,0.011714839539901729,0.7875,0.7952717848136733,0.8961621005658383
llama3.1-8b,truthfulqa,probe_mlp,11,0.8905565978736711,0.01228698105340117,0.8166666666666668,0.8112587904360056,0.902023588258181
llama3.1-8b,truthfulqa,probe_mlp,12,0.8893058161350845,0.02224024525693831,0.7999999999999999,0.8145475483232167,0.9033036265763069
llama3.1-8b,truthfulqa,probe_mlp,13,0.9103606420679591,0.011869619216582639,0.8291666666666666,0.8372158805763141,0.9165467859367361
llama3.1-8b,truthfulqa,probe_mlp,14,0.9136960600375233,0.0039881439378171585,0.8125,0.818498286583393,0.9171800832467868
llama3.1-8b,truthfulqa,probe_mlp,15,0.9024390243902438,0.005686129538038755,0.7999999999999999,0.8033094098883572,0.9098398644730933
llama3.1-8b,truthfulqa,probe_mlp,16,0.8911819887429644,0.006212076058266185,0.7958333333333334,0.8003206942086397,0.9048413026274366
llama3.1-8b,truthfulqa,probe_mlp,17,0.8899312070043778,0.00663818358477829,0.7916666666666666,0.7942544159794674,0.903195407652567
llama3.1-8b,truthfulqa,probe_mlp,18,0.8805503439649781,0.009742190073419144,0.7916666666666666,0.7943722943722943,0.8965409003944472
llama3.1-8b,truthfulqa,probe_mlp,19,0.8772149259954137,0.009502832036724243,0.7875,0.7919025419025418,0.892754708731197
llama3.1-8b,truthfulqa,probe_mlp,20,0.8788826349801959,0.013181100654189919,0.7791666666666668,0.7777915410765651,0.8952880981227486
llama3.1-8b,truthfulqa,probe_mlp,21,0.8774233896185116,0.017451281664754115,0.7916666666666666,0.7858225108225109,0.8932275960857893
llama3.1-8b,truthfulqa,probe_mlp,22,0.868042526579112,0.02306892776161752,0.7708333333333334,0.7655718851464263,0.885554698318037
llama3.1-8b,truthfulqa,probe_mlp,23,0.8641859495518033,0.021703756403435137,0.7583333333333334,0.7533533738698731,0.883169073955801
llama3.1-8b,truthfulqa,probe_mlp,24,0.8649155722326455,0.031022581153181166,0.7666666666666666,0.7696927935687624,0.8802306434718518
llama3.1-8b,truthfulqa,probe_mlp,25,0.8578278090473211,0.03315685848144276,0.7375000000000002,0.73888000988272,0.8763271932814954
llama3.1-8b,truthfulqa,probe_mlp,26,0.8709610173024807,0.02384335439388407,0.7625000000000001,0.7695402298850574,0.890202072526574
llama3.1-8b,truthfulqa,probe_mlp,27,0.8603293725244944,0.021338774726319284,0.75,0.7551943701814503,0.8842575255237097
llama3.1-8b,truthfulqa,probe_mlp,28,0.8592870544090058,0.012007938981792515,0.7583333333333333,0.7611177835896937,0.8839148697580237
llama3.1-8b,truthfulqa,probe_mlp,29,0.851782363977486,0.00974219007341919,0.75,0.7451118475559237,0.880079825126268
llama3.1-8b,truthfulqa,probe_mlp,30,0.8403168647071086,0.010787866610744712,0.7458333333333332,0.7375999725397316,0.8688179220232861
llama3.1-8b,truthfulqa,probe_mlp,31,0.8386491557223265,0.011046605211166773,0.75,0.7433238366571701,0.8641821863438363
llama3.1-8b,truthfulqa,probe_mlp,32,0.8213466750052115,0.009813301893633357,0.7208333333333332,0.7053703703703705,0.8470207534199132
mistral-7b,fever,probe_linear,0,0.5,0.0,0.5041666666666667,0.4517906336088154,0.5125
mistral-7b,fever,probe_linear,1,0.6422764227642277,0.0716029303764054,0.5166666666666666,0.660940960406201,0.6709601178310742
mistral-7b,fever,probe_linear,2,0.6875130289764436,0.055895469086993804,0.5541666666666666,0.6661509335422379,0.7360228420304834
mistral-7b,fever,probe_linear,3,0.7654784240150093,0.08126392261296235,0.5916666666666667,0.6845736029336743,0.7646225243250644
mistral-7b,fever,probe_linear,4,0.7723577235772358,0.06518681160545425,0.7166666666666667,0.7181835331241103,0.7796335493665462
mistral-7b,fever,probe_linear,5,0.7979987492182614,0.07071250799486772,0.7250000000000001,0.731376648606198,0.8059747878898428
mistral-7b,fever,probe_linear,6,0.8027934125495101,0.07683291582457452,0.7416666666666666,0.7460360924216346,0.8078268227180896
mistral-7b,fever,probe_linear,7,0.8032103397957057,0.05989911198745052,0.6833333333333332,0.7139504946853507,0.797366139766889
mistral-7b,fever,probe_linear,8,0.8311444652908068,0.0379690037189757,0.7416666666666667,0.754985838080979,0.8241163560833992
mistral-7b,fever,probe_linear,9,0.8424015009380863,0.03782796321772359,0.75,0.7482449025615004,0.8387334156704473
mistral-7b,fever,probe_linear,10,0.8534500729622682,0.033062356911268416,0.7541666666666665,0.7666584381918935,0.8588061036189755
mistral-7b,fever,probe_linear,11,0.8778403168647072,0.0301977385236303,0.7791666666666667,0.7851979571143538,0.8841704673083596
mistral-7b,fever,probe_linear,12,0.9291223681467584,0.013940590783656809,0.8083333333333332,0.8214074954581284,0.9363659753446202
mistral-7b,fever,probe_linear,13,0.94579945799458,0.008700703253995917,0.8541666666666666,0.8608957795004306,0.9498919644405065
mistral-7b,fever,probe_linear,14,0.9597665207421304,0.001559998910474814,0.9,0.9037659508247744,0.9576746533081945
mistral-7b,fever,probe_linear,15,0.9545549301646862,0.004461316355854196,0.9,0.9024096385542167,0.9483007224957429
mistral-7b,fever,probe_linear,16,0.9497602668334375,0.008685706339795483,0.8916666666666666,0.8959228135698724,0.9424646288677385
mistral-7b,fever,probe_linear,17,0.9472587033562644,0.011387534111943001,0.8791666666666668,0.8844903423216676,0.9388250890121265
mistral-7b,fever,probe_linear,18,0.9397540129247446,0.01149010946801803,0.875,0.8801431683784625,0.9304995412256282
mistral-7b,fever,probe_linear,19,0.9443402126328956,0.008903129666067352,0.8791666666666668,0.8816621499548329,0.9421392502779068
mistral-7b,fever,probe_linear,20,0.9401709401709403,0.00825473832529638,0.8625000000000002,0.8709895762826587,0.9370498213061609
mistral-7b,fever,probe_linear,21,0.9345424223473003,0.008191320702267494,0.8458333333333333,0.8487481439009689,0.9283663309236437
mistral-7b,fever,probe_linear,22,0.9318323952470294,0.00920550434263904,0.8500000000000001,0.8547063031668118,0.9236307795176883
